customer_id,session_id,visit_date,device_type,user_type,marketing_channel,product_id,product_category,unit_price,quantity
1803,0,28-11-2024,2,1,2,894,6,651.57,1
7964,1,25-09-2024,2,0,4,844,2,945.27,4
6890,2,31-05-2024,1,1,0,865,0,400.44,4
4949,3,30-01-2024,1,0,2,851,3,1268.54,2
4896,4,25-02-2024,1,1,5,794,3,880.81,3
8726,5,29-03-2024,1,0,4,481,3,458.42,2
1773,6,28-05-2024,0,1,1,634,0,623.83,4
7275,7,19-11-2024,1,0,4,225,6,1491.56,3
2813,8,13-02-2024,1,1,3,628,2,791.88,2
1847,9,29-07-2024,1,0,4,664,7,164.42,4
5737,10,06-05-2024,0,1,2,386,4,318.62,4
9779,11,18-01-2024,0,1,0,594,4,103.54,2
7621,12,14-08-2024,1,0,4,379,6,373.33,4
7849,13,14-09-2024,0,0,5,786,7,682.23,1
7456,14,16-12-2024,0,1,0,175,2,837.89,2
8073,15,03-07-2024,1,1,3,766,7,1151.07,2
5618,16,28-04-2024,1,1,2,691,0,693.68,1
2152,17,07-11-2024,0,0,3,250,1,481.83,4
8556,18,31-03-2024,0,1,1,145,7,687.69,1
5053,19,06-09-2024,1,0,0,525,3,806.73,3
5502,20,10-12-2024,2,0,4,842,6,1374.55,4
4336,21,02-01-2024,1,1,4,394,1,361.79,4
2642,22,03-12-2024,1,1,5,237,7,557.98,1
9339,23,16-03-2024,0,0,2,835,2,799.51,1
8033,24,24-06-2024,1,1,2,567,3,853.62,2
6794,25,04-04-2024,1,0,4,367,7,667.9,1
4621,26,22-02-2024,1,0,3,376,0,927.81,2
8404,27,13-09-2024,1,1,0,57,1,161.8,3
5908,28,24-06-2024,0,1,3,750,6,1159.83,4
4990,29,04-07-2024,0,1,1,440,7,1014.28,1
5053,30,25-06-2024,1,1,5,722,1,511.8,4
3044,31,29-09-2024,0,0,1,207,4,180.12,2
1829,32,18-12-2024,1,0,1,72,4,437,4
5990,33,06-07-2024,1,1,2,9,5,560.82,4
8990,34,26-02-2024,0,1,5,551,1,789.99,1
1574,35,29-04-2024,1,0,5,819,3,837.27,2
8723,36,30-06-2024,1,0,4,657,3,855.27,2
8447,37,07-02-2024,1,1,2,604,3,1140.72,3
3490,38,24-03-2024,0,1,2,462,2,1434.14,3
6684,39,14-03-2024,0,0,2,105,6,1937.8,4
